Title: BV Photometry Of The RR Lyrae Variables Of The Globular Cluster M3  
Authors: Corwin T.M., Carney B.W. 
Table: B and V Photometry of the Variable Stars
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---   Name   Variable name
   6- 16 F11.3  d     JD     Julian date of observation
      18 A1     ---   Filt   Filter used 
  20- 25 F6.3   mag   Mag    ? Observed magnitude in Filt
--------------------------------------------------------------------------------
name JD filter mag
v3   2449091.713 B 16.039
v3   2449091.727 B 16.100
v3   2449091.760 B 16.213
v3   2449091.787 B 16.342
v3   2449091.815 B 16.349
v3   2449091.835 B 16.348
v3   2449091.849 B 16.340
v3   2449091.862 B 16.298
v3   2449091.884 B 16.196
v3   2449091.906 B 16.355
v3   2449091.920 B 16.371
v3   2449091.934 B 16.293
v3   2449091.947 B 16.386
v3   2449091.961 B 16.398
v3   2449091.976 B 16.389
v3   2449091.990 B 16.429
v3   2450622.777 B 15.681
v3   2450622.791 B 15.730
v3   2450622.805 B 15.815
v3   2450622.818 B 15.886
v4   2448755.668 B 14.970
v4   2448755.683 B 14.688
v4   2448755.698 B 14.467
v4   2448755.714 B 14.480
v4   2448755.751 B 14.577
v4   2448755.765 B 14.690
v4   2448755.794 B 14.849
v4   2448755.808 B 14.936
v4   2448755.844 B 15.011
v4   2448755.858 B 15.060
v4   2448755.886 B 15.153
v4   2448755.900 B 15.191
v4   2448755.913 B 15.231
v4   2448755.927 B 15.296
v4   2448755.942 B 15.271
v4   2448756.662 B 15.261
v4   2448756.676 B 15.128
v4   2448756.708 B 14.941
v4   2448756.722 B 14.884
v4   2448756.753 B 14.928
v4   2448756.767 B 15.014
v4   2448756.781 B 15.081
v4   2448756.795 B 15.103
v4   2448756.810 B 15.154
v4   2448756.825 B 15.121
v4   2448756.840 B 14.814
v4   2448756.853 B 14.703
v4   2448756.867 B 14.471
v4   2448756.881 B 14.480
v4   2448756.895 B 14.520
v4   2448756.910 B 14.588
v4   2448756.925 B 14.673
v4   2448756.939 B 14.766
v4   2448757.639 B 15.126
v4   2448757.654 B 15.213
v4   2448757.763 B 15.313
v4   2448757.777 B 15.518
v4   2448757.830 B 15.313
v4   2448757.872 B 15.051
v4   2448757.886 B 14.935
v4   2448757.900 B 14.926
v4   2448757.914 B 14.911
v4   2448757.939 B 14.958
v4   2448757.942 B 15.038
v4   2448758.663 B 14.572
v4   2448758.678 B 14.627
v4   2448758.705 B 14.819
v4   2448758.719 B 14.823
v4   2448758.755 B 14.951
